,Stage Name,Full Name,Date of Birth,Group,Debut,Company,Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,age,Debut Age,Zodiac
18,Alice,Cheon Jaeyoung,2002-02-20,TRACER,2022-04-03,Gleamedia,South Korea,,,,,,F,22.0,20.0,Pisces
19,Allen,Allen Ma,1999-04-26,CRAVITY,2020-04-14,Starship,USA,,,,,,M,24.0,20.0,Taurus
20,Amber,Amber Josephine Liu,1992-09-18,f(x),2009-09-05,SM,USA,167.0,,Los Angeles,,,F,31.0,16.0,Virgo
21,A-min,Cho Minwoo,2004-05-22,EPEX,2021-06-08,C9,South Korea,175.0,54.0,Namyangju,,,M,19.0,17.0,Gemini
22,Andy,Lui Chunyeung,1994-10-06,7 O'clock,2014-08-26,Jungle,Hong Kong,,,,,,M,29.0,19.0,Libra
23,Andy,Lee Sunho,1981-01-21,Shinhwa,1998-03-24,SM| Good| Shinhwa,South Korea,175.0,62.0,Seoul,,,M,43.0,17.0,Aquarius
24,Anne,Lee Seoyoung,2000-10-17,GWSN,2018-09-05,Kiwi Pop,South Korea,,,,,,F,23.0,17.0,Libra
25,Anthony,Anthony Lo,1998-03-12,VARSITY,2017-01-05,GKC,China,179.0,,,,,M,26.0,18.0,Pisces
26,Ara,Lee Yunji,2002-01-23,ILY:1,2022-04-04,FC ENM,South Korea,158.0,,,,,F,22.0,20.0,Aquarius
27,A-ra,Choi Eunji,2003-07-25,Girls' World,2002-06-20,Liz,South Korea,158.0,,Seoul,,,F,20.0,-2.0,Leo
28,Aran,Jeong Eunah,2004-10-11,FIFTY FIFTY,2022-11-18,ATTRAKT,South Korea,162.0,44.0,,,,F,19.0,18.0,Libra
29,Arang,Son Mnjung,2000-03-08,,,,South Korea,,,,,NeonPunch,F,24.0,,Pisces
30,Arang,Park Yerim,2001-01-22,Pink Fantasy,2018-10-28,My Doll,South Korea,167.0,49.0,,,,F,23.0,17.0,Aquarius
31,Areum,Kim Daun,1998-01-31,AREAL,2020-08-21,JZ Factory,South Korea,,,,,Rose Finger,F,26.0,22.0,Aquarius
32,Ari,Kim Sunyoung,1994-10-23,Tahiti,2012-06-23,J-line,South Korea,,,Daegu,,,F,29.0,17.0,Scorpio
33,Aria,Baby Gauthami,2003-03-12,X:IN,2023-04-11,Escrow,India,,,,,,F,21.0,20.0,Pisces
34,Arie,Jeon Minjae,2000-04-07,MIXX,2016-05-02,Chiko,South Korea,163.0,45.0,,,,F,23.0,16.0,Aries
35,Arin,Choi Yewon,1999-06-18,Oh My Girl,2015-04-21,WM,South Korea,163.0,47.0,Busan,,,F,24.0,15.0,Gemini
36,Aron,Kwak Youngmin,1993-05-21,NU'EST,2012-03-15,Pledis,South Korea,,,California,NU'EST W,,M,30.0,18.0,Gemini
37,Arthur,Jang Yunho,2000-04-15,Kingdom,2021-02-18,GF,South Korea,176.0,57.0,,,VARSITY,M,23.0,20.0,Aries
38,Asa,Enami Asa,2006-04-17,BABYMONSTER,,YG,Japan,,,,,,F,17.0,,Aries
39,Asahi,Hanada Asahi,2001-08-20,Treasure,2020-08-07,YG,Japan,,,,,,M,22.0,18.0,Leo
40,Ashley,Ashley Choi,1991-11-09,Ladies' Code,2013-03-07,Polaris,South Korea,,,Incheon,,,F,32.0,21.0,Scorpio
41,Aurora,Yang Lan,1997-01-14,NATURE,2018-08-03,n.CH,China,,,,,,F,27.0,21.0,Capricorn
42,Ayamy,Suzuki Ayami,2000-07-15,Bling Bling,2020-11-17,Major9,Japan,,,,,,F,23.0,20.0,Cancer
43,Ayden,Kwon Yejun,2005-01-24,EPEX,2021-06-08,C9,South Korea,174.0,55.0,,,,M,19.0,16.0,Aquarius
44,Ayeon,Son Minji,2002-09-29,Saturday,2018-07-18,SD,South Korea,162.0,47.0,,,,F,21.0,15.0,Libra
45,Ayno,Noh Yoonho,1996-05-01,VAV,2015-10-31,A team,South Korea,183.0,61.0,,,,M,27.0,19.0,Taurus
46,B.I,Kim Hanbin,1996-10-22,,,,South Korea,,,Goyang,,iKON,M,27.0,,Libra
47,B.S,Lee Youngsoo,1995-04-14,14U,2017-04-17,BG,South Korea,,,,,,M,28.0,22.0,Aries
48,Babysoul,Lee Soojung,1992-07-06,Lovelyz,2014-11-17,Woollim,South Korea,158.0,41.0,Gwangju,,,F,31.0,22.0,Cancer
49,Bada,Kim Bada,2002-05-28,Hinapia,2019-11-03,Alseulbit,South Korea,162.0,49.0,,,,F,21.0,17.0,Gemini
50,Bae,Bae Jinsol,2004-12-28,NMIXX,2022-02-22,JYP,South Korea,,,,,,F,19.0,17.0,Capricorn
51,Baek Seung,Kim Hyunwoo,2004-10-05,EPEX,2021-06-08,C9,South Korea,186.0,64.0,Seoul,,,M,19.0,16.0,Libra
52,Baekah,Kim Sua,1999-10-24,XUM,2020-09-22,A100,South Korea,,,,,NeonPunch,F,24.0,20.0,Scorpio
53,Baekgyeul,Baek Sunwoo,1999-12-01,E'LAST,2020-06-09,E Entertainment,South Korea,180.0,61.0,,,,M,24.0,20.0,Sagittarius
54,Baekho,Kang Dongho,1995-07-21,NU'EST,2012-03-15,Pledis,South Korea,,,Jeju,NU'EST W,,M,28.0,16.0,Cancer
55,Baekhyun,Byun Baekhyun,1992-05-06,EXO,2012-04-08,SM,South Korea,174.0,58.0,Wonmi,EXO-CBX| SuperM,,M,31.0,19.0,Taurus
56,Bahiyyih,Huening Bahiyyih,2004-07-27,Kep1er,2022-03-01,WakeOne,USA,166.0,,,,,F,19.0,17.0,Leo
57,Bain,Song Byeonghee,2001-05-04,JUST B,2021-06-30,Bluedot,South Korea,,,,,,M,22.0,20.0,Taurus
58,BamBam,Kunpimook Bhuwakul,1997-05-02,GOT7,2014-01-16,JYP,Thailand,170.0,52.0,Bangkok,,,M,26.0,16.0,Taurus
59,Bang Chan,Bang Chan,1997-10-03,Stray Kids,2018-03-25,JYP,Australia,,,Sydney,3RACHA,,M,26.0,20.0,Libra
60,Bao,Bae Sungyeob,1996-05-12,XEED,2022-12-01,Nature Space,South Korea,182.0,63.0,,,LUCENTE,M,27.0,26.0,Taurus
61,Baro,Cha Sunwoo,1992-09-05,,,,South Korea,178.0,63.0,Gwangju,,B1A4,M,31.0,,Virgo
62,Baron,Choi Chunghyeop,1992-04-19,,,,South Korea,180.0,60.0,,,VAV,M,31.0,,Aries
63,B-Bomb,Lee Minhyuk,1990-12-14,Block B,2011-04-15,KQ,South Korea,178.0,60.0,Seoul,Bastarz,,M,33.0,20.0,Sagittarius
64,BC,Jin Sungho,1994-07-18,1TEAM,2019-03-27,LiveWorks,South Korea,,,,,,M,29.0,24.0,Cancer
65,Bekah,Rebecca Kim,1989-08-11,,,,South Korea,,,Honolulu,,After School,F,34.0,,Leo
66,BEL,Choi Sunghoon,2000-05-21,DUSTIN,2020-01-06,LPA,South Korea,,,,,,M,23.0,19.0,Gemini
67,Belle,Jin Hyeonjoo,2001-11-03,Cignature,2020-02-04,C9,South Korea,,,Goyang,,Good Day,F,22.0,18.0,Scorpio
68,Benji,Baek Jaewook,1992-05-03,B.I.G,2014-07-09,GH,USA,183.0,72.0,Indianapolis,,,M,31.0,22.0,Taurus
69,Beomgyu,Choi Beomgyu,2001-03-13,TXT,2019-03-04,Big Hit,South Korea,,,,,,M,23.0,17.0,Pisces
70,Bessie,Kim Susanna,2004-07-15,Lapillus,2022-06-22,MLD,South Korea,,,Changwon,,,F,19.0,17.0,Cancer
71,Bian,Yu Jiwon,2001-02-13,MAJORS,2021-03-09,ANS,South Korea,,,,,ANS,F,23.0,20.0,Aquarius
72,BIBI,Kim Hyungseo,1998-09-27,,,,South Korea,,,,,,F,25.0,,Libra
73,Bic,Nam Seungmin,2001-04-25,MCND,2020-02-27,TOP Media,South Korea,,,,,,M,22.0,18.0,Taurus
74,Bin,Kwon Soobin,1993-10-28,Hot Blood Youth,2017-05-17,FNC,South Korea,,,,,,M,30.0,23.0,Scorpio
75,Bit,No Minjae,2004-07-21,BAE173,2020-11-19,PocketDol,South Korea,,,,,,M,19.0,16.0,Cancer
76,Bitsaeon,Kim Sangyeon,1995-06-04,MONT,2014-05-14,Starship,South Korea,181.0,60.0,,,,M,28.0,18.0,Gemini
77,Bitto,Lee Changhyun,1996-08-24,UP10TION,2015-09-10,TOP Media,South Korea,,,Dongducheon,,,M,27.0,19.0,Virgo
78,B-Joo,Kim Byungjoo,1994-01-08,Topp Dogg,2020-04-01,n.CH,South Korea,,,Seoul,,,M,30.0,26.0,Capricorn
79,Blue,Jung Gahee,1994-01-18,Pungdeng-E,2013-12-11,DOMA,South Korea,161.0,,Gwangju,,,F,30.0,19.0,Capricorn
80,BM,Matthew Kim,1992-10-20,KARD,2007-03-29,DSP,South Korea,,,,,,M,31.0,14.0,Libra
81,BoA,Kwon Boa,1986-11-05,,,,South Korea,,,Guri,,,F,37.0,,Scorpio
82,Boa,Kim Boah,1987-01-14,KEEMBO,2020-04-10,ARA-LINE,South Korea,,,,,SPICA,F,37.0,33.0,Capricorn
83,Bobby,Kim Jiwon,1995-12-21,iKON,2015-09-15,YG,South Korea,,,Seoul,,,M,28.0,19.0,Sagittarius
84,Boeun,Park Boeun,2008-02-11,CLASS:y,2022-05-05,Universal,South Korea,155.0,,,,,F,16.0,14.0,Aquarius
85,Bohyung,Kim Bohyung,1991-03-31,KEEMBO,2020-04-10,ARA-LINE,South Korea,,,,SPICA-S,SPICA,F,32.0,29.0,Aries
86,Bokeun,Kim Bokeun,1994-10-12,SIGNAL,2019-08-28,J-Star,South Korea,,,,,,M,29.0,24.0,Libra
87,Bom,Park Bom,1984-03-24,2NE1,2009-05-06,YG,South Korea,,,,,,F,39.0,25.0,Aries
88,Bomi,Yoon Bomi,1993-08-13,Apink,2011-04-19,Plan A,South Korea,163.0,,Suwon,Chobom,,F,30.0,17.0,Leo
89,Bomin,Choi Bomin,2000-08-24,Golden Child,2017-08-28,Woollim,South Korea,,,,,,M,23.0,17.0,Virgo
90,Bomin,Kim Bomin,2001-09-24,RedSquare,2020-05-19,About,South Korea,,,Gwangju,,Good Day,F,22.0,18.0,Libra
91,Bona,Kim Jiyeon,1995-08-19,WJSN,2016-02-25,Starship,South Korea,163.0,,Daegu,WJSN The Black,,F,28.0,20.0,Leo
92,Boni,Choi Euijeong,1999-10-30,Dreamnote,2018-11-07,iME,South Korea,160.0,45.0,,,,F,24.0,19.0,Scorpio
93,Bora,Kim Bora,1999-03-03,Cherry Bullet,2019-01-21,FNC,South Korea,,,,,,F,25.0,19.0,Pisces
94,Bora,Yoon Bora,1989-12-30,SISTAR,2010-03-06,Starship,South Korea,,,,SISTAR19,,F,34.0,20.0,Capricorn
95,Boram,Jeon Boram,1986-03-22,,,,South Korea,155.0,45.0,Seoul,,T-ara,F,37.0,,Aries
96,Bullet,Jin Junwoo,1995-12-02,VARSITY,2017-01-05,GKC,South Korea,182.0,65.0,Seoul,,,M,28.0,21.0,Sagittarius
97,BX,Lee Byounggon,1998-03-05,CIX,2019-07-23,C9,South Korea,180.0,61.0,Incheon,,,M,26.0,21.0,Pisces
98,Byeongkwan,Kim Byeongkwan,1996-08-13,A.C.E,2017-05-23,Beat,South Korea,,,Seoul,,,M,27.0,20.0,Leo
99,Byungchan,Choi Byungchan,1997-11-12,VICTON,2016-11-09,Plan A,South Korea,,,,,,M,26.0,18.0,Scorpio
100,C.A.P,Bang Minsoo,1992-11-04,Teen Top,2010-07-09,TOP Media,South Korea,,,Seongnam,,,M,31.0,17.0,Scorpio
101,Cao Lu,Cao Lu,1987-08-30,Fiestar,2012-08-31,LOEN,China,166.0,,Zhangjiajie,,,F,36.0,25.0,Virgo
102,Casper,Chu Xiaoxiang,1991-03-20,CROSS GENE,2012-07-08,Amuse,China,176.0,66.0,Shanghai,,,M,32.0,21.0,Pisces
103,Castle J,Son Sangjoon,1999-05-31,MCND,2020-02-27,TOP Media,South Korea,,,,,,M,24.0,20.0,Gemini
104,Cha Hoon,Cha Hoon,1994-07-12,N.Flying,2015-05-20,FNC,South Korea,,,Seoul,,,M,29.0,20.0,Cancer
105,Chaebin,Choi Yoobin,1999-07-28,NATURE,2018-08-03,n.CH,South Korea,,,,,,F,24.0,19.0,Leo
106,Chaehyun,Kim Chaehyun,1999-11-29,Bonus Baby,2017-01-01,Maroo,South Korea,163.0,,,,,F,24.0,17.0,Sagittarius
107,Chaehyun,Kim Chaehyun,2002-04-26,Kep1er,2022-03-01,WakeOne,South Korea,160.0,,,,,F,21.0,19.0,Taurus
108,Chaein,Lee Chaeyoung,2002-12-05,Purple Kiss,2021-03-15,RBW,South Korea,,,,,,F,21.0,18.0,Sagittarius
109,Chaejeong,Lee Chaejeong,1999-08-26,ALICE,2017-07-01,IOK Company,South Korea,164.0,48.0,,,,F,24.0,17.0,Virgo
110,Chaejin,Chae Jinseok,1995-12-26,MYNAME,2011-10-27,H2,South Korea,,,Seoul,,,M,28.0,15.0,Capricorn
111,Chaekyung,Yoon Chaekyung,1996-07-07,APRIL,2015-08-24,DSP,South Korea,160.0,45.0,Incheon,C.I.V.A| I.B.I,Puretty,F,27.0,19.0,Cancer
112,Chaelin,Lee Chaelin,1999-10-20,FANATICS,2019-08-06,FENT,South Korea,162.0,47.0,,,,F,24.0,19.0,Libra
113,Chaerin,Park Chaerin,2002-03-13,Cherry Bullet,2019-01-21,FNC,South Korea,,,,,,F,22.0,16.0,Pisces
114,Chaerin,Park Chaerin,2003-03-31,ICHILLIN',2021-09-08,KM,South Korea,,,,,,F,20.0,18.0,Aries
115,Chaeryeong,Lee Chaeryeong,2001-06-05,ITZY,2019-02-12,JYP,South Korea,,,Yongin,,,F,22.0,17.0,Gemini
116,Chaesol,Maeng Chaesol,1998-07-14,Cignature,2020-02-04,C9,South Korea,,,Yeosu,,Good Day,F,25.0,21.0,Cancer
117,Chaewon,Kim Chaewon,1997-11-08,APRIL,2015-08-24,DSP,South Korea,,,Gongju,,,F,26.0,17.0,Scorpio
118,Chaewon,Yoon Chaewon,2003-06-04,CLASS:y,2022-05-05,Universal,South Korea,163.0,,,,,F,20.0,18.0,Gemini
119,Chaewon,Kim Chaewon,2000-08-01,LE SSERAFIM,2022-05-02,Source,South Korea,,,Seoul,,IZ*ONE,F,23.0,21.0,Leo
120,Chaewon,Lee Chaewon,2000-03-18,Maka Maka,2020-08-04,Dreamus,South Korea,,,,,,F,23.0,20.0,Pisces
121,ChaeY,Song Chaeyeon,2003-01-06,CRAXY,2020-03-03,SAITEINMENT,South Korea,,,,,,F,21.0,17.0,Capricorn
122,Chaeyeon,Jung Chaeyeon,1997-12-01,DIA,2015-07-14,MBK,South Korea,165.0,49.0,Suncheon,,I.O.I,F,26.0,17.0,Sagittarius
123,Chaeyeon,Lee Chaeyeon,2000-01-11,IZ*ONE,2018-10-29,Off The Record,South Korea,,,Yongin,,,F,24.0,18.0,Capricorn
124,Chaeyeon,Kim Chaeyeon,2004-12-04,tripleS,2023-02-13,MODHAUS,South Korea,,,,,Busters,F,19.0,18.0,Sagittarius
125,Chaeyoung,Lee Chaeyoung,2000-05-14,fromis_9,2018-01-24,Off The Record,South Korea,,,Pohang,,,F,23.0,17.0,Taurus
126,Chaeyoung,Son Chaeyoung,1999-04-23,Twice,2015-10-20,JYP,South Korea,159.0,,Seoul,,,F,24.0,16.0,Taurus
127,Chahee,Park Sooyoung,1996-03-24,MELODYDAY,2019-09-25,KD,South Korea,167.0,,,,,F,27.0,23.0,Aries
128,Chan,Kang Yoochan,1997-12-31,A.C.E,2017-05-23,Beat,South Korea,,,Jeju,UNB,,M,26.0,19.0,Capricorn
129,Chan,Jung Chanwoo,1998-01-26,iKON,2015-09-15,YG,South Korea,,,Yongin,,,M,26.0,17.0,Aquarius
130,Chan,Jo Chanhyuk,1999-12-08,TOO,2020-04-01,n.CH,South Korea,,,,,,M,24.0,20.0,Sagittarius
131,Changbin,Seo Changbin,1999-08-11,Stray Kids,2018-03-25,JYP,South Korea,,,Yongin,3RACHA,,M,24.0,18.0,Leo
132,Changbum,Woo Changbum,1993-10-07,,,,South Korea,,,Sokcho,,100%,M,30.0,,Libra
133,Changgyu,Song Changgyu,1993-07-06,UNVS,2020-02-23,CHITWN,South Korea,,,,,,M,30.0,26.0,Cancer
134,Changjo,Choi Jonghyun,1995-11-16,Teen Top,2010-07-09,TOP Media,South Korea,,,Chuncheon,,,M,28.0,14.0,Scorpio
135,Changsub,Lee Changsub,1991-02-26,BtoB,2012-03-21,Cube,South Korea,177.0,64.0,Suwon,,,M,33.0,21.0,Pisces
136,Changsun,Lee Changsun,1996-03-17,24K,2012-09-06,Choeun,South Korea,179.0,58.0,,,,M,27.0,16.0,Pisces
137,Changuk,Joo Changuk,2001-07-25,DRIPPIN,2020-10-26,Woollim,South Korea,184.0,59.0,,,,M,22.0,19.0,Leo
138,Chani,Kang Chanhee,2000-01-17,SF9,2016-10-05,FNC,South Korea,,,,,,M,24.0,16.0,Capricorn
139,Chanmi,Kim Chanmi,1996-06-19,AoA,2012-07-30,FNC,South Korea,166.0,47.0,Gumi,,,F,27.0,16.0,Gemini
140,Chansung,Hwang Chansung,1990-02-11,2PM,2008-07-04,JYP,South Korea,184.0,75.0,Seoul,,,M,34.0,18.0,Aquarius
141,Chanty,Maria Chantal Videla,2002-12-15,Lapillus,2022-06-22,MLD,Philippines,170.0,,Manila,,,F,21.0,19.0,Sagittarius
142,Chanyeol,Park Chanyeol,1992-11-27,EXO,2012-04-08,SM,South Korea,185.0,70.0,Seoul,,,M,31.0,19.0,Sagittarius
143,Chanyong,Kim Chanyong,1993-04-29,100%,2012-09-18,TOP Media,South Korea,,,Suwon,,,M,30.0,19.0,Taurus
144,Chanyoung,Kim Chanyoung,2000-11-20,D-CRUNCH,2018-08-06,All-S,South Korea,,,,,,M,23.0,17.0,Scorpio
145,Chen,Kim Jongdae,1992-09-21,EXO,2012-04-08,SM,South Korea,173.0,64.0,Silheung,EXO-CBX,,M,31.0,19.0,Virgo
146,Cheng Xiao,Cheng Xiao,1998-07-15,,,,China,167.0,,Shenzhen,,WJSN,F,25.0,,Cancer
147,Chenle,Zhong Chenle,2001-11-22,NCT,2016-04-09,SM,China,,,Shanghai,NCT Dream,,M,22.0,14.0,Sagittarius
148,Cheongeum,Jang Cheongeum,1996-06-19,Ho1iday,2013-04-26,LOEN,South Korea,,,,,,F,27.0,16.0,Gemini
149,Chi.u,Lee Jaeyi,1998-08-16,X:IN,2023-04-11,Escrow,South Korea,,,,,,F,25.0,24.0,Leo
150,Chiayi,Li Chiayi,2000-01-22,FANATICS,2019-08-06,FENT,Taiwan,164.0,,,FANATICS FLAVOR,,F,24.0,19.0,Aquarius
151,Chihoon,Choi Chihoon,1999-04-27,TOO,2020-04-01,n.CH,South Korea,,,,,,M,24.0,20.0,Taurus
152,Chiquita,Riracha Phondechaphiphat,2009-02-17,BABYMONSTER,,YG,Thailand,,,,,,F,15.0,,Aquarius
153,Chiwoo,Guk Seungjun,2002-09-02,Kingdom,2021-02-18,GF,South Korea,,,,,,M,21.0,18.0,Virgo
154,Chloe,Yun Jiwon,2001-01-06,Cignature,2020-02-04,C9,South Korea,163.0,,Seoul,,,F,23.0,19.0,Capricorn
155,Choa,Park Choa,1990-03-06,,,,South Korea,160.0,42.0,Incheon,,AoA| AOA BLACK,F,34.0,,Pisces
156,Choa,Heo Minjin,1990-07-12,Crayon Pop,2012-07-18,Chrome,South Korea,161.0,,Seoul,,,F,33.0,22.0,Cancer
157,Choerry,Choi Yerim,2001-06-04,LOONA,2018-08-20,Blockberry,South Korea,,,,Loona Odd Eye Circle| ARTMS,,F,22.0,17.0,Gemini
158,Choi In,Choi In,1996-02-11,E'LAST,2020-06-09,E Entertainment,South Korea,170.0,50.0,,,,M,28.0,24.0,Aquarius
159,Choi Jiann,Choi Jaewoo,1997-09-30,Newkidd,2019-04-25,J-FLO,South Korea,175.0,,,,,M,26.0,21.0,Libra
160,Chorong,Park Chorong,1991-03-03,Apink,2011-04-19,Plan A,South Korea,165.0,,Chungwongoon,Chobom,,F,33.0,20.0,Pisces
161,Chowon,Kim Chowon,2005-08-18,ICHILLIN',2021-09-08,KM,South Korea,,,,,,F,18.0,16.0,Leo
162,Chowon,Han Chowon,2002-09-16,LIGHTSUM,2021-06-10,Cube,South Korea,168.0,50.0,Seoul,,,F,21.0,18.0,Virgo
163,Choyeon,Kim Choyeon,2001-08-01,bugAboo,2021-10-25,A team,South Korea,164.0,44.0,,,,F,22.0,20.0,Leo
164,Chris,Han Chris,2002-11-19,BLITZERS,2021-05-12,Wuzo,South Korea,,,,,,M,21.0,18.0,Scorpio
165,Chungha,Kim Chungha,1996-02-09,,,,South Korea,,,Dallas,,I.O.I,F,28.0,,Aquarius
166,Chunji,Lee Chanhee,1993-10-05,Teen Top,2010-07-09,TOP Media,South Korea,,,Seongnam,,,M,30.0,16.0,Libra
167,Chuu,Kim Jiwoo,1999-10-20,LOONA,2018-08-20,Blockberry,South Korea,,,Cheongju,Loona yyxy,,F,24.0,18.0,Libra
168,CL,Lee Chaerin,1991-02-26,2NE1,2009-05-06,YG,South Korea,,,,,,F,33.0,18.0,Pisces
169,CNU,Shin Dongwoo,1991-06-16,B1A4,2010-04-19,WM,South Korea,182.0,64.0,Seoul,,,M,32.0,18.0,Gemini
170,Cory,Hong Joohyung,1990-11-25,24K,2012-09-06,Choeun,South Korea,175.0,58.0,Daegu,,,M,33.0,21.0,Sagittarius
171,Cui Xiang,Cui Xiang,1995-01-26,BOTOPASS,2020-08-26,WKS ENE,China,,,,,ILUV,F,29.0,25.0,Aquarius
172,Cya,Lee Giwook,2000-01-24,Onewe,2019-01-09,RBW,South Korea,,,,,MAS,M,24.0,18.0,Aquarius
173,Cyan,Lee Chaeeun,2001-04-04,bugAboo,2021-10-25,A team,South Korea,,,Sanbon,,,F,22.0,20.0,Aries
174,D.ana,Cho Eunae,1995-09-10,Sonamoo,2014-12-29,TS,South Korea,170.0,,Seoul,,,F,28.0,19.0,Virgo
175,D.O.,Do Kyungsoo,1993-01-12,EXO,2012-04-08,SM,South Korea,173.0,60.0,Gyeonggi,,,M,31.0,19.0,Capricorn
176,D1,Jang Dongil,1998-02-15,DKB,2020-02-03,Brave,South Korea,174.0,59.0,,,,M,26.0,21.0,Aquarius
177,Dabi,Park Jiwon,2000-01-19,AREAL,2020-08-21,JZ Factory,South Korea,,,,,MIDNIGHT,F,24.0,20.0,Capricorn
178,Daehwi,Lee Daehwi,2001-01-29,AB6IX,2019-05-22,Brand New,South Korea,,,Seoul,,Wanna One,M,23.0,18.0,Aquarius
179,Daehyeon,Jang Daehyeon,1997-02-11,WEi,2020-10-05,OUI,South Korea,175.0,,,,RAINZ,M,27.0,23.0,Aquarius
180,Daehyun,Jung Daehyun,1993-06-28,B.A.P,2012-01-27,TS,South Korea,177.0,63.0,Busan,,,M,30.0,18.0,Cancer
181,Daeil,Kim Daeil,1992-05-10,,,,South Korea,,,Busan,,24K,M,31.0,,Taurus
182,Daesung,Daesung,1989-04-26,BIGBANG,2006-08-19,YG,South Korea,178.0,63.0,Incheon,,,M,34.0,17.0,Taurus
183,Daeun,Jung Daeun,1994-06-03,2EYES,2013-07-20,SidusHQ,South Korea,161.0,,Bucheon,,,F,29.0,19.0,Gemini
184,Daewang Nim,Daewang Nim,1996-04-08,Pink Fantasy,2018-10-28,My Doll,South Korea,162.0,49.0,,,,F,27.0,22.0,Aries
185,Daeyeol,Lee Daeyeol,1993-02-11,Golden Child,2017-08-28,Woollim,South Korea,,,Yongin,,,M,31.0,24.0,Aquarius
186,Dahye,Song Dahye,1993-06-12,,,,South Korea,,,,,EXID| BESTie,F,30.0,,Gemini
187,Dahyun,Jeong Dahyun,2005-04-29,Rocket Punch,2019-08-07,Woollim,South Korea,160.0,,,,,F,18.0,14.0,Taurus
188,Dahyun,Seo Dahyun,2003-01-08,tripleS,2023-02-13,MODHAUS,South Korea,160.0,,Busan,,,F,21.0,20.0,Capricorn
189,Dahyun,Kim Dahyun,1998-05-28,Twice,2015-10-20,JYP,South Korea,165.0,,Seongnam,,,F,25.0,17.0,Gemini
190,Dain,Song Jieun,1990-06-25,,,,South Korea,,,,,Wassup,F,33.0,,Cancer
191,Dain,Jung Dain,2004-12-15,HOT ISSUE,2017-05-17,FNC,South Korea,,,,,,F,19.0,12.0,Sagittarius
192,Daisy,Yoo Jeongahn,1999-01-22,,,,South Korea,,,Seoul,,MOMOLAND,F,25.0,,Aquarius
193,Dajeong,Kim Dajeong,1995-08-08,Hash Tag,2017-10-11,LUK,South Korea,170.0,,Gwangju,,,F,28.0,22.0,Leo
194,Dajeong,Jung Dajeong,2003-07-31,Pixy,2021-02-24,ALLART,South Korea,157.0,42.0,,,,F,20.0,17.0,Leo
195,Dakyung,Jung Dakyung,2001-07-23,Hi-L,2021-08-11,Kpop Live,South Korea,,,,,,F,22.0,20.0,Leo
196,Dalyn,Lee Sohyun,1999-08-27,ANS,2019-09-16,ANS,South Korea,,,,,,F,24.0,20.0,Virgo
197,Damhee,Park Damhee,2000-06-21,ARTBEAT,2022-11-16,AB Creative,South Korea,,,,,,F,23.0,22.0,Cancer
